Policy_number,Type,Coverage,Coverage_Add_Ons,Policy_Status,Validity,Insured_amount,Premium_amount,Issuance_date,Policy_holder_name,Payment_status,Payment_Frequency,Policy_renewal_date,Claimant_name,Relationship,Address,Claimant_occupation,Claimant_age,Marital_status,Claimant_driver_history,Emergency_contact_information,Phone_Number,Email,Registration_number,Make,Model,Year,Engine_Chassis_number,Color,Vehicle_condition,Vehicle_value_market_value,Vehicle_type_sedan_SUV_etc,Vehicle_history_accident_repair_history,Fuel_type,Insurance_coverage_type,Odometer_reading,Vehicle_safety_features,Date,Time,Location,Nature_of_incident,Police_report,Incident_severity_level,Weather_conditions_at_the_time_of_the_accident,Witnesses,Traffic_condition_at_the_time_of_incident,Incident_description,Involvement_of_pedestrians_or_animals,Cause_of_incident,Damage_to_property_outside_the_vehicle,Accident_scene_photos_videos,Own_Damage,Third_Party,Comprehensive,Extent_of_damage,Repair_estimates,Surveyor_report,Repair_Cost,Total_Loss_Evaluation,Depreciation,Salvage_value,Parts_replaced,Insurance_settlement_amount,Repair_duration,Repair_shop_details,Claim_Form,Driving_License,RC_Book,FIR,Repair_estimate_bill,Claim_amount,Deductibles,Previous_claims,Claim_status,Supporting_documents,Payment_details,Claim_history_report,Injury_details,Medical_bills,Hospitalization_details,Treatment_type,Medical_reports,Doctor_statement,Prescription_details,Physiotherapy_details,Disability_status,Loss_of_wages,Red_flags,Investigation,Regulatory_compliance,Court_cases,Fraud_detection,Compliance_check_list,Legal_obligations_if_any,Forensic_examination_if_any,Claims_audit_findings,Claim_review_history,Claims_approval_status,Final_settlement_approval,Internal_audit_report,Claim_verification,Fraud_detection_approval,Supervisor_Manager_approval,Driver_license,Driver_history,Driving_experience,Previous_traffic_violations,License_expiry_date,Driver_address,Driver_contact_details,Driver_medical_history,Alcohol_drug_test_results,License_class_if_applicable,License_Type
POL98110748,Car Insurance,Third Party,Engine Protection,Cancelled,2024-03-19 to 2025-09-26,783962,9064,2025-01-27,Suzanne Jordan,Paid,Monthly,2026-11-18,Amber Patterson,Parent,"865 Martin Tunnel Apt. 271
Hoganfurt, NH 38564",Telecommunications researcher,22,Married,One speeding ticket,"674.562.0135, brookewilson@example.net",+1-252-812-5040x910,hdean@example.com,Bu 44 AC 1633,Honda,Swift,2022,EZ8277134432,White,Used,775179.7895783362,Sedan,1 accident,Petrol,Third Party,36010,"Airbags, ABS, EBD",2024-05-03,22:17:55,North Robin,Theft,FIR07601,High,Clear,"(738)569-7451x0063, David Bennett",Light,Rear-ended car,Yes,Driver Error,No,"assume.jpg, black.mp4",False,True,True,39112,580347.3793155524,SurveyorReport595,580347.3793155524,Not a total loss,60304.957688975424,37687.32155698219,Windshield,597067,1,"Rodriguez and Sons, 054 Watson Harbor Apt. 326
North Michelle, VA 18550, 724.776.8545x400",ClaimForm842,DL8891368153,RC7504267915,FIR85519,Estimate954,608526,11459,2,Approved,"security.jpg, animal.mp4",Payment532,HistoryReport186,Head injury,45647,2 days in Johnson PLC,Casting and Physiotherapy,MedicalReport353,DoctorStatement994,Prescription035,PhysioReport955,True,29770,False,Under process,Non-compliant,True,Failed,None,Pending,ForensicReport196,AuditFindings371,ReviewHistory317,Approved,False,AuditReport362,False,False,Manager259,DL9125216393,Clean driving record,12,No violations,2025-12-12,"6499 Karen Bypass
Townsendmouth, NV 51715","001-723-524-1093x4710, joy51@example.net",Asthma,Passed,HGV,Permanent
POL47223861,Car Insurance,Comprehensive,No Claim Bonus,Suspended,2025-01-14 to 2026-01-09,760494,28131,2024-11-06,Laura Fernandez DVM,Paid,Yearly,2026-05-02,John Johnston,Parent,"18871 Burns Cove
East Deannastad, DC 83390",Clinical psychologist,39,Single,One speeding ticket,"8168299438, swatts@example.com",(713)846-1448x83889,daniellewaller@example.org,Qb 73 cA 6621,Honda,City,2019,dk4910156446,Red,Used,438999.05701464217,Sedan,No accidents,Petrol,Comprehensive,70715,"Airbags, ABS",2024-08-15,14:59:32,Nicoleland,Major Collision,FIR88215,Low,Sunny,"(358)736-0431, Michele Bell",Heavy,Scratched car,Yes,Theft,No,"participant.jpg, middle.mp4",True,False,False,34426,514118.2928777226,SurveyorReport099,514118.2928777226,Not a total loss,40040.23975290324,40740.0015938039,Windshield,545573,4,"Juarez Ltd, 713 William Knolls
East Deniseton, ID 89327, 676.894.4924x94721",ClaimForm606,DL2119261066,RC5163079880,FIR27406,Estimate752,552258,6685,2,Approved,"score.jpg, miss.mp4",Payment848,HistoryReport982,Whiplash injury,19115,"6 days in Le, Dixon and Ho",Physiotherapy and medication,MedicalReport890,DoctorStatement860,Prescription229,PhysioReport350,False,17906,True,Pending,Non-compliant,True,Passed,None,Pending,ForensicReport136,AuditFindings244,ReviewHistory815,Rejected,False,AuditReport853,False,True,Manager815,DL3149637378,2 minor accidents,5,2 accidents,2026-04-26,"57803 Matthew Place
Johnville, ME 58297","304-558-3211, xtaylor@example.org",Hypertension,Failed,HGV,Permanent
POL55358857,Car Insurance,Comprehensive,Consumable cover,Effective,2024-05-24 to 2025-08-28,1431185,20063,2024-05-20,Madison Ortiz,Paid,Yearly,2025-10-24,Anthony Brown,Parent,"14951 Michael Circles Apt. 750
Coleport, MD 84704",Passenger transport manager,27,Married,Clean,"001-300-452-6311x828, zavalamichael@example.org",681-455-8657x0241,brenda74@example.org,WV 10 cx 5857,Toyota,EcoSport,2017,dK7006733177,Blue,New,791665.235128395,Hatchback,1 accident,Petrol,Third Party,56385,"Airbags, ABS",2025-02-25,17:35:28,East Robertoview,Major Collision,FIR85189,Low,Sunny,"236.326.2378x256, Susan Walters",Light,Hit by a truck,No,Driver Error,No,"rich.jpg, arm.mp4",False,False,True,37715,996615.347597998,SurveyorReport106,996615.347597998,Total Loss,75507.85361235116,71293.6742396644,Front left door,1154773,5,"Martin-Carter, 753 Bauer Springs Apt. 342
Port Anna, GA 87187, 418.654.3547x682",ClaimForm067,DL8869487284,RC3898814692,FIR95397,Estimate540,1221646,66873,3,Pending,"senior.jpg, arm.mp4",Payment707,HistoryReport992,Fractured arm,22487,9 days in Buchanan Group,Casting and Physiotherapy,MedicalReport929,DoctorStatement003,Prescription581,PhysioReport135,False,18604,True,Under process,Compliant,False,Failed,Pending,Pending,ForensicReport108,AuditFindings003,ReviewHistory849,Rejected,True,AuditReport149,True,True,Manager601,DL7259445792,One traffic violation,2,No violations,2028-05-21,"257 Williams Isle Apt. 148
Brownfort, NJ 07434","(866)871-8107, robertwilliams@example.com",Hypertension,Failed,LMV,Learning
POL75540972,Car Insurance,Comprehensive,No Claim Bonus,Effective,2024-08-02 to 2025-07-07,1522124,56083,2024-06-29,Anthony Giles,Pending,Monthly,2027-01-31,Robert Valentine,Spouse,"46154 Knight Trace
West Jonathantown, RI 87782",Geophysical data processor,37,Married,Clean,"524.938.9382x2761, terrance03@example.com",(446)689-2327,andrew16@example.com,Oq 78 eO 5893,Maruti Suzuki,Corolla,2018,Nq3887016252,Silver,Used,1034200.6370151832,SUV,No accidents,Diesel,Comprehensive,32558,"Airbags, ABS, Reverse Sensors",2024-10-21,22:56:39,Jonesstad,Minor Collision,FIR89015,Low,Sunny,"+1-496-700-6035x948, Jack Robinson",Heavy,Rear-ended car,Yes,Pedestrian crossing,Yes,"room.jpg, form.mp4",True,False,False,26007,151557.05987461083,SurveyorReport072,151557.05987461083,Not a total loss,54472.43782795509,19723.33661273934,Front left door,152853,7,"Murphy, Newman and Coleman, 3333 Jessica Knolls
Julieside, VI 38579, 589.461.9318x1974",ClaimForm828,DL0409719954,RC0130664514,FIR08873,Estimate536,154485,1632,0,Rejected,"national.jpg, air.mp4",Payment967,HistoryReport997,Bruises on face,18729,1 days in Esparza-Williams,Physiotherapy and medication,MedicalReport511,DoctorStatement833,Prescription005,PhysioReport329,False,40492,False,Under process,Compliant,False,Failed,Pending,None,ForensicReport537,AuditFindings012,ReviewHistory508,Rejected,False,AuditReport688,False,False,Manager913,DL8417498278,2 minor accidents,2,2 accidents,2026-01-30,"5001 House Turnpike Apt. 973
Dominguezchester, NH 72691","8599269898, riosdavid@example.com",Hypertension,Passed,LMV,Learning
POL35567972,Car Insurance,Third Party,Consumable cover,Cancelled,2024-06-05 to 2025-07-05,559372,8153,2024-07-12,Daniel Young,Pending,Quarterly,2025-06-29,Jessica Joyce,Parent,"USS Orr
FPO AA 07775",Sales executive,66,Married,One speeding ticket,"5679993796, ostein@example.com",(899)591-4604,mary95@example.net,YW 64 zY 6931,Toyota,Swift,2017,xU0487146855,Black,Used,728373.2016604582,SUV,1 accident,Petrol,Third Party,54649,"Airbags, ABS, Parking Sensors",2024-08-16,09:31:50,Mathewburgh,Theft,FIR80694,High,Clear,"(952)302-3200x42808, Martha Parker",Moderate,Stolen vehicle,No,Pedestrian crossing,No,"begin.jpg, than.mp4",True,False,False,21016,440316.4272489497,SurveyorReport796,440316.4272489497,Not a total loss,90930.46121988953,27614.73440519756,Roof panel,453675,8,"Mcbride-Rangel, 015 Melissa Plains Suite 912
Ericastad, AR 74206, +1-425-259-3821x2543",ClaimForm244,DL9829292854,RC5719742557,FIR05376,Estimate819,502558,48883,1,Rejected,"also.jpg, involve.mp4",Payment470,HistoryReport487,Head injury,46515,3 days in Brown Ltd,Surgery and observation,MedicalReport308,DoctorStatement390,Prescription208,PhysioReport667,True,39100,True,Under process,Compliant,False,Passed,Pending,None,ForensicReport291,AuditFindings425,ReviewHistory121,Rejected,False,AuditReport548,False,False,Manager880,DL7391127207,One speeding ticket,6,1 speeding,2026-04-10,"7418 Richards Station Suite 765
South Darren, SC 79194","(565)512-6757x196, daniel33@example.net",Diabetes,Passed,LMV,Permanent
POL82242159,Car Insurance,Accidental Coverage,No Claim Bonus,Effective,2025-01-18 to 2025-09-03,1024108,28961,2024-05-01,Travis Meyers,Pending,Half Yearly,2025-05-16,Christopher Hines,Son,"6642 Carney Meadow
Ashleyfort, WI 97314","Editor, magazine features",65,Married,Clean,"404.457.9592x8326, adamjones@example.com",(258)491-6023x403,wesley74@example.net,GD 22 aF 7412,Honda,EcoSport,2016,dE4574625780,Blue,New,960772.5602477497,Sedan,No accidents,Petrol,Third Party,94532,"Airbags, ABS, EBD",2024-05-25,23:46:15,North Jameston,Accident involving pedestrian,FIR89496,Low,Clear,"+1-966-670-8708x059, Olivia Allison",Light,Scratched car,No,Speeding,No,"leave.jpg, box.mp4",True,False,False,36186,134671.44840059383,SurveyorReport235,134671.44840059383,Total Loss,70084.45594172338,76006.09776381716,Roof panel,154631,5,"Martin-Webb, 931 Jeffrey Cliff
Melissaville, AR 19859, (412)763-4826",ClaimForm854,DL3911511060,RC1472655844,FIR53659,Estimate028,166346,11715,4,Approved,"different.jpg, activity.mp4",Payment299,HistoryReport110,Head injury,24193,5 days in Sampson PLC,Surgery and observation,MedicalReport665,DoctorStatement449,Prescription885,PhysioReport344,True,36282,True,Closed,Non-compliant,False,Failed,Pending,None,ForensicReport584,AuditFindings465,ReviewHistory387,Rejected,False,AuditReport618,True,True,Manager175,DL6691402050,2 minor accidents,2,1 parking violation,2030-03-13,"327 Kline Keys Apt. 119
Brennanborough, DC 83553","412.239.9352x140, rhill@example.com",Diabetes,Failed,LMV,Permanent
POL08924780,Car Insurance,Third Party,Consumable cover,Cancelled,2025-02-20 to 2025-06-01,445977,19134,2024-06-23,Kathy Reyes,Paid,Half Yearly,2026-03-15,Candice Dunn,Parent,"239 Andrew Trace Suite 719
Gouldchester, NC 58662",Research scientist (maths),36,Married,1 accident,"001-782-256-1635, whiteshelia@example.net",549-575-6595x112,robinsontravis@example.org,bA 81 Lv 4862,Toyota,City,2018,No4445502375,Silver,New,478234.1854429495,SUV,1 accident,Diesel,Comprehensive,79226,"Airbags, ABS, EBD",2024-06-25,06:11:43,North Josephfurt,Major Collision,FIR16750,High,Rainy,"539-656-7346, Michael Banks",Heavy,Scratched car,No,Speeding,No,"small.jpg, fly.mp4",False,False,False,32524,88868.1311116746,SurveyorReport439,88868.1311116746,Total Loss,79622.68816413483,45782.790541158254,Rear bumper,172216,6,"Roman-Douglas, 048 Taylor Crossroad
Lake Stacie, WA 98196, 520.788.8976x2268",ClaimForm924,DL8967063324,RC4200691668,FIR27526,Estimate288,176945,4729,4,Approved,"control.jpg, interest.mp4",Payment203,HistoryReport192,Bruises on face,21640,7 days in Thompson-Potter,Physiotherapy and medication,MedicalReport850,DoctorStatement685,Prescription482,PhysioReport135,True,17177,False,Closed,Non-compliant,False,Failed,Pending,Pending,ForensicReport759,AuditFindings089,ReviewHistory468,Rejected,True,AuditReport324,False,True,Manager103,DL3479904491,One traffic violation,1,2 accidents,2026-02-19,"137 Richard Rest Apt. 086
North Ethanstad, GU 52704","001-835-494-0586x388, wrogers@example.com",Hypertension,Failed,HGV,Learning
POL71954154,Car Insurance,Third Party,No Claim Bonus,Suspended,2024-05-28 to 2026-03-15,1389973,23046,2024-11-03,Denise Kim,Paid,Half Yearly,2027-01-17,Alan Welch,Spouse,"43027 Dodson Walk
Ashleyland, MN 79785",Health visitor,55,Single,Clean,"285-414-8586x272, jgarrett@example.net",001-877-995-4734x2850,uturner@example.com,Ls 50 ya 8486,Maruti Suzuki,EcoSport,2022,qS2898115930,Red,New,2019465.5100020494,SUV,1 repair,Diesel,Third Party,30636,"Airbags, ABS, Parking Sensors",2024-05-25,08:51:03,Hayneshaven,Minor Scratch,FIR10761,High,Clear,"+1-931-299-9734x781, Eric Martinez",Moderate,Rear-ended car,No,Theft,No,"cup.jpg, after.mp4",True,False,True,44109,310443.5771036315,SurveyorReport512,310443.5771036315,Total Loss,328684.26309176994,70035.72103815418,Left fender,314826,4,"King-Allen, 21575 Brittany Course Apt. 308
Navarrofort, MD 36686, +1-722-827-1370x04520",ClaimForm812,DL4592052969,RC0924333826,FIR39848,Estimate321,320323,5497,2,Rejected,"fall.jpg, everything.mp4",Payment924,HistoryReport560,Broken leg,39470,2 days in Lutz-Meyer,Surgery and observation,MedicalReport148,DoctorStatement142,Prescription841,PhysioReport441,False,13521,False,Pending,Non-compliant,True,Failed,None,None,ForensicReport884,AuditFindings005,ReviewHistory109,Rejected,True,AuditReport190,True,True,Manager864,DL8085625732,One speeding ticket,18,2 accidents,2029-08-03,"Unit 5999 Box 0723
DPO AP 28330","+1-322-377-7185x3449, kyle13@example.com",Hypertension,Failed,LMV,Permanent
POL61228759,Car Insurance,Third Party,Road side assistance (24*7),Suspended,2024-04-30 to 2025-11-30,676906,31090,2024-11-07,Albert Myers,Pending,Quarterly,2027-01-09,Miss Amber Johnson,Parent,"35251 Wilson Loop
West Jillian, MH 60312",Set designer,54,Single,One speeding ticket,"+1-771-856-3585x6657, lindsey57@example.net",(359)316-1171x9374,lauren05@example.org,Mq 18 Uu 7659,Maruti Suzuki,Corolla,2019,TB4277145108,Blue,Used,748484.363035001,Hatchback,No accidents,Diesel,Third Party,14197,"Airbags, ABS",2025-01-18,00:16:27,Port Jose,Minor Scratch,FIR18428,Low,Rainy,"249.855.9899x8615, Tina Smith",Moderate,Scratched car,Yes,Speeding,No,"relate.jpg, development.mp4",True,True,False,39330,345184.6592503217,SurveyorReport541,345184.6592503217,Total Loss,51795.10820587416,44658.56359395768,Left side mirror,382750,5,"Graham, Perry and Hernandez, 17696 William Landing
Christinafurt, WY 63024, 001-596-375-5263x300",ClaimForm036,DL8936806539,RC0481722325,FIR99674,Estimate660,390537,7787,5,Approved,"green.jpg, without.mp4",Payment421,HistoryReport573,Whiplash injury,33429,5 days in Wilson LLC,Physiotherapy and medication,MedicalReport600,DoctorStatement851,Prescription246,PhysioReport293,True,18618,False,Pending,Non-compliant,False,Failed,Pending,Pending,ForensicReport306,AuditFindings301,ReviewHistory086,Rejected,False,AuditReport106,True,True,Manager305,DL0530645988,2 minor accidents,19,1 speeding,2029-05-01,"7662 Johnson Ways
East Lindaborough, OK 52347","(633)293-5228, pjackson@example.com",No major medical issues,Failed,HGV,Learning
POL41027199,Car Insurance,Third Party,Engine Protection,Effective,2024-08-15 to 2025-06-23,1493150,42488,2024-10-07,Barbara Walton,Paid,Monthly,2026-02-08,Angela Reynolds,Son,"925 Burke Causeway Suite 499
Port Barbara, IL 91406",Furniture conservator/restorer,65,Married,One speeding ticket,"+1-318-400-8794x304, steven18@example.org",4306757722,marshallanthony@example.com,vi 91 BY 2314,Hyundai,Swift,2021,Ed9742234501,Black,New,755983.1383554997,Hatchback,No accidents,Diesel,Third Party,39861,"Airbags, ABS",2024-03-19,15:58:28,East Lucasberg,Major Collision,FIR04246,Moderate,Cloudy,"+1-570-413-8848x267, Mallory Boyd",Heavy,Scratched car,Yes,Pedestrian crossing,Yes,"different.jpg, remain.mp4",True,True,True,42920,325262.356359797,SurveyorReport893,325262.356359797,Not a total loss,143817.59253020294,42454.183945690245,Left side mirror,324996,1,"Baker, White and Roberts, 949 Nichols Terrace
Eddiehaven, KS 54933, 472.406.0542",ClaimForm405,DL0500127136,RC9154665847,FIR60287,Estimate465,343427,18431,3,Approved,"build.jpg, blue.mp4",Payment943,HistoryReport081,Whiplash injury,46191,10 days in Johnson-Gordon,Physiotherapy and medication,MedicalReport804,DoctorStatement244,Prescription716,PhysioReport526,True,45670,False,Pending,Non-compliant,False,Failed,None,Pending,ForensicReport133,AuditFindings571,ReviewHistory019,Approved,False,AuditReport154,True,True,Manager604,DL5838898801,One speeding ticket,12,2 accidents,2026-04-27,"605 Justin Isle
South William, OK 32597","(490)803-3746x108, pchambers@example.net",Hypertension,Failed,HGV,Permanent
POL78690887,Car Insurance,Accidental Coverage,Consumable cover,Cancelled,2024-06-24 to 2025-05-07,708549,13478,2025-01-11,Tracy Burke,Paid,Monthly,2025-07-10,Carla Weber,Son,"9578 Johnson Valley Suite 223
Amandaview, NJ 70539","Engineer, manufacturing systems",25,Married,2 minor accidents,"+1-679-342-2171, donna28@example.org",+1-285-539-9064,amanda84@example.net,vY 04 HK 3022,Honda,Corolla,2022,wD8142901170,Red,New,907877.5868304662,Hatchback,1 repair,Petrol,Comprehensive,15439,"Airbags, ABS, Reverse Sensors",2025-02-13,03:27:47,Vanessatown,Theft,FIR59427,Low,Sunny,"001-599-797-4111x4942, Timothy Burke",Moderate,Hit by a truck,Yes,Pedestrian crossing,No,"view.jpg, day.mp4",True,True,False,27369,439698.4241649369,SurveyorReport186,439698.4241649369,Not a total loss,50649.0913574124,33732.7212766055,Left fender,437389,9,"Foster Inc, 596 Ronald Route
South Williamfurt, KY 93155, 828-251-4279x8191",ClaimForm339,DL7892295072,RC7781117799,FIR30146,Estimate673,479051,41662,3,Rejected,"change.jpg, especially.mp4",Payment015,HistoryReport569,Bruises on face,24866,6 days in Mathews LLC,Surgery and observation,MedicalReport602,DoctorStatement236,Prescription943,PhysioReport609,True,20049,True,Closed,Non-compliant,False,Passed,None,None,ForensicReport507,AuditFindings693,ReviewHistory055,Rejected,False,AuditReport941,False,True,Manager071,DL5105747492,One traffic violation,17,1 speeding,2028-12-12,"USNV Lambert
FPO AP 29023","4395464697, fgoodwin@example.net",No major medical issues,Passed,HGV,Permanent
POL55367177,Car Insurance,Third Party,No Claim Bonus,Effective,2025-01-18 to 2026-02-21,607782,9134,2024-08-22,Tracy Wilkins,Pending,Monthly,2025-03-23,Veronica Martin,Spouse,"Unit 2518 Box 4619
DPO AE 40721",Mental health nurse,54,Single,One speeding ticket,"916.868.9211, felicia39@example.com",(351)866-5155,gharmon@example.com,hZ 50 JF 4966,Toyota,City,2019,jX0754363276,White,New,779604.2523045993,SUV,1 repair,Petrol,Third Party,98070,"Airbags, ABS, EBD",2024-11-02,04:12:12,South Davidport,Theft,FIR55625,Moderate,Overcast,"586-841-6197x4312, Donald Payne",Heavy,Stolen vehicle,Yes,Driver Error,Yes,"information.jpg, pattern.mp4",False,True,False,34648,110457.92667418919,SurveyorReport892,110457.92667418919,Not a total loss,62179.13239157525,34213.59946802731,Front left door,131825,1,"Morris Ltd, 4726 Denise Tunnel Suite 971
Atkinsmouth, NV 56077, 258-398-9986",ClaimForm876,DL4656789745,RC2821414589,FIR52847,Estimate963,133221,1396,0,Rejected,"including.jpg, three.mp4",Payment086,HistoryReport336,Fractured arm,12838,9 days in Logan-Banks,Casting and Physiotherapy,MedicalReport963,DoctorStatement127,Prescription574,PhysioReport049,False,49758,False,Closed,Compliant,True,Passed,None,Pending,ForensicReport393,AuditFindings066,ReviewHistory151,Rejected,True,AuditReport399,False,False,Manager751,DL1586071865,2 minor accidents,11,1 speeding,2030-03-08,"5015 Brandon Viaduct
Lanefurt, SC 19708","+1-698-473-5358x2094, molly98@example.org",Asthma,Passed,LMV,Learning
POL80062022,Car Insurance,Third Party,Engine Protection,Suspended,2025-03-09 to 2025-10-31,1619829,73552,2025-01-26,William Reyes,Pending,Quarterly,2025-10-15,Joann Turner,Son,"74598 Ashley Walks
Andrewchester, AK 06812","Lecturer, higher education",62,Married,1 accident,"(788)323-3595, michael83@example.org",9653652102,spencekyle@example.org,cd 88 aM 4950,Toyota,EcoSport,2018,lz9908479378,Red,New,2013910.4938799085,Hatchback,1 accident,Diesel,Third Party,56609,"Airbags, ABS, Reverse Sensors",2025-01-23,02:09:03,Kathrynbury,Major Collision,FIR77460,Moderate,Cloudy,"001-483-897-9975x334, Taylor Carter MD",Heavy,Rear-ended car,Yes,Driver Error,No,"sing.jpg, thousand.mp4",False,False,False,16403,735006.90338618,SurveyorReport795,735006.90338618,Not a total loss,262552.97573499964,180681.6996903529,Rear bumper,1155319,4,"Reynolds-Garcia, 90615 Hill Flat
Christophershire, AK 65564, 205.562.5785x827",ClaimForm338,DL3719645966,RC1917315312,FIR03905,Estimate065,1255947,100628,4,Approved,"statement.jpg, even.mp4",Payment123,HistoryReport000,Broken leg,39413,3 days in Roberts Ltd,Casting and Physiotherapy,MedicalReport158,DoctorStatement509,Prescription278,PhysioReport365,False,23843,False,Closed,Non-compliant,False,Passed,Pending,Pending,ForensicReport025,AuditFindings688,ReviewHistory057,Approved,False,AuditReport607,True,False,Manager130,DL9708238664,2 minor accidents,7,No violations,2026-08-11,"60240 Morgan Islands Apt. 643
Port Ronnie, ID 61960","581.439.5147x412, hoovernathaniel@example.com",Diabetes,Passed,HGV,Learning
POL79206671,Car Insurance,Comprehensive,No Claim Bonus,Suspended,2024-03-18 to 2025-09-21,1426080,26476,2024-07-06,Kelly Phillips,Pending,Half Yearly,2025-11-23,David Klein,Spouse,"36667 Philip Forge Apt. 232
Brandonside, GA 41661","Engineer, petroleum",19,Married,Clean,"535-720-6120, jonathanlucas@example.org",(239)462-0808,frodriguez@example.org,CS 82 Yi 9954,Toyota,i20,2022,Uo3990374042,White,New,1191809.6535103275,Sedan,1 accident,Diesel,Third Party,29490,"Airbags, ABS, EBD",2024-09-26,01:36:40,North Donald,Major Collision,FIR80896,Low,Overcast,"+1-918-961-5963x122, Tammy Long",Light,Rear-ended car,Yes,Speeding,No,"institution.jpg, different.mp4",False,False,False,32928,889129.0645056734,SurveyorReport762,889129.0645056734,Not a total loss,234137.7976592575,114771.17757322757,Rear bumper,898584,7,"Harvey and Sons, 638 Mcguire Burgs Apt. 534
Theresastad, AR 44760, 3409175442",ClaimForm250,DL2245054502,RC0165730620,FIR80797,Estimate140,971601,73017,5,Rejected,"tell.jpg, art.mp4",Payment800,HistoryReport533,Head injury,28181,6 days in English PLC,Casting and Physiotherapy,MedicalReport024,DoctorStatement426,Prescription990,PhysioReport846,True,33782,False,Under process,Non-compliant,False,Failed,Pending,None,ForensicReport373,AuditFindings064,ReviewHistory785,Rejected,True,AuditReport051,False,True,Manager531,DL3052171489,2 minor accidents,4,1 speeding,2030-02-21,"739 Jody Park Suite 049
West Brandonville, SC 42853","312-567-7703x427, zjackson@example.net",Diabetes,Failed,HGV,Learning
POL24676951,Car Insurance,Third Party,Consumable cover,Effective,2024-08-15 to 2026-02-17,1638273,72991,2024-08-20,Joseph Brown,Paid,Monthly,2026-01-11,Dustin Hobbs,Spouse,"09005 Angel Glen Apt. 442
North Randymouth, MI 01744",Communications engineer,21,Married,2 minor accidents,"9975895913, brucecarroll@example.net",001-212-580-8086x328,griffinlinda@example.com,SQ 95 bE 1793,Toyota,EcoSport,2022,co8680301124,Blue,Used,2165603.63530006,Hatchback,No accidents,Petrol,Comprehensive,62967,"Airbags, ABS, Reverse Sensors",2024-06-23,02:30:26,West Jason,Minor Scratch,FIR86688,Low,Cloudy,"805-245-2393x792, Martin Lee",Moderate,Pedestrian hit,No,Speeding,Yes,"recently.jpg, major.mp4",False,True,False,31236,937993.678819252,SurveyorReport113,937993.678819252,Not a total loss,149146.34220484068,204616.96581752336,Left side mirror,918271,8,"Cannon and Sons, 34712 Richardson Village
Hannahtown, CT 16598, 971.374.3794x3206",ClaimForm802,DL8432005964,RC8465724783,FIR51644,Estimate941,977208,58937,5,Pending,"top.jpg, process.mp4",Payment111,HistoryReport805,Fractured arm,27967,"1 days in Tate, Brennan and Alexander",Casting and Physiotherapy,MedicalReport642,DoctorStatement327,Prescription744,PhysioReport833,False,43482,False,Pending,Compliant,False,Passed,None,Pending,ForensicReport144,AuditFindings791,ReviewHistory307,Approved,False,AuditReport529,True,False,Manager109,DL6616007969,One traffic violation,14,2 accidents,2026-03-12,"63646 Megan Meadows
Pattyland, NE 94315","819.377.6674x090, harperbeverly@example.net",Asthma,Passed,HGV,Learning
POL95259613,Car Insurance,Third Party,Road side assistance (24*7),Effective,2024-07-22 to 2026-02-22,1298314,64553,2024-12-26,Logan Hampton,Pending,Half Yearly,2026-02-17,Matthew Castillo,Spouse,"0768 Kevin Rest Suite 997
Miguelland, CT 69930",Barrister,70,Single,One speeding ticket,"+1-910-771-3995, joelpadilla@example.com",599.558.7745,tracyramirez@example.com,Tf 92 OD 4810,Ford,City,2016,Sp1910529074,Silver,Used,1044344.5765765911,Hatchback,1 accident,Petrol,Third Party,30291,"Airbags, ABS, Parking Sensors",2025-01-10,11:14:38,East Elizabethtown,Theft,FIR72248,Moderate,Sunny,"888-273-2848x53721, Daniel Robertson",Light,Hit by a truck,Yes,Pedestrian crossing,No,"pay.jpg, they.mp4",True,True,True,29885,313041.233233154,SurveyorReport794,313041.233233154,Not a total loss,164205.75306952727,12766.384369601357,Front left door,394320,9,"Russell-Nelson, 837 Catherine Unions Apt. 273
New Sylviafort, VI 96115, 902-640-3264x0734",ClaimForm672,DL1847988760,RC3729680733,FIR23959,Estimate188,427533,33213,2,Rejected,"chair.jpg, research.mp4",Payment117,HistoryReport078,Whiplash injury,44632,8 days in Robinson Inc,Physiotherapy and medication,MedicalReport281,DoctorStatement496,Prescription099,PhysioReport648,True,17711,False,Under process,Non-compliant,False,Failed,None,None,ForensicReport200,AuditFindings255,ReviewHistory934,Rejected,True,AuditReport864,False,False,Manager420,DL5156057978,One traffic violation,11,1 parking violation,2025-03-25,"4012 Christina Views Apt. 203
Karenberg, TN 53213","9335749940, joshuamoore@example.net",No major medical issues,Failed,HGV,Learning
